"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"08/09/2014","AQS","090030025","1","6.5","ug/m3 LC","27","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"08/18/2014","AQS","090030025","1","4.6","ug/m3 LC","19","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"08/21/2014","AQS","090030025","1","7.7","ug/m3 LC","32","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"08/24/2014","AQS","090030025","1","6.7","ug/m3 LC","28","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/02/2014","AQS","090030025","1","15.9","ug/m3 LC","59","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/05/2014","AQS","090030025","1","11.3","ug/m3 LC","47","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/08/2014","AQS","090030025","1","5","ug/m3 LC","21","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/11/2014","AQS","090030025","1","1.7","ug/m3 LC","7","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/14/2014","AQS","090030025","1","1.6","ug/m3 LC","7","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/23/2014","AQS","090030025","1","4.5","ug/m3 LC","19","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
